1;The Rising Sun - Pink;57; You are in a desert and you come across a cube, how big is it?; very big; as big as me; very small;
2;The Rising Sun - Pink;57; You are in a desert and you come across a cube, what material is it made of?; metal; wood; glass; plastic
3;The Rising Sun - Pink;57; You are in a desert and you come across a cube, what position does it occupy?; is placed on the ground; it's under the sand; it's in the air;
4;The Rising Sun - Pink;57; You are in a desert and, in addition to a cube, you see a staircase, how big is it?; It is very tall; It is as big as me; it’s small;
5;The Rising Sun - Pink;57; You are in a desert and, in addition to a cube, you see a staircase, what is it like?; it is in stone with large steps; it is spiral; it's a painter's ladder;
6;The Rising Sun - Pink;57; You are in a desert and, in addition to a cube, you see a staircase, where is it?; leaning on the cube; above the cube; away from the cube;
7;The Rising Sun - Pink;57; You are in a desert and, in addition to a cube and a ladder, a horse appears, what is it like?;beautiful and elegant; big and full of energy; small and tired;
8;The Rising Sun - Pink;57; You are in a desert and, in addition to a cube and a ladder, a horse appears, what does it do?; walks; It's stopped; runs;
9;The Rising Sun - Pink;57; You are in a desert and, in addition to a cube and a ladder, a horse appears, what position does it occupy?; it is far from the cube and scale; It is at the cube and scale; it is very close to the cube and the scale;
10;The Rising Sun - Pink;57; You are in a desert and, in addition to seeing a cube, a ladder and a horse, you notice that a storm is coming, how far away is it?; it's above me; it is very far away; is approaching fast;
11;The Rising Sun - Pink;57; You are in a desert and, in addition to seeing a cube, a ladder and a horse, a storm has arrived, which of them is saved?; horse; cube; ladder;
12;The Rising Sun - Pink;57; You are in a desert and, in addition to seeing a cube, a ladder and a horse, you also see some flowers, how many are there?; only one; few; many;
13;The Rising Sun - Pink;57;You are in a desert and, in addition to seeing a cube, a ladder and a horse, you also see flowers, how far are they from the cube?; they are very close; I'm above the cube; they are distant;
14;The Rising Sun - Pink;57; You are in a desert and, in addition to seeing a cube, a ladder and a horse, you also see flowers, what color are they?; green; rose;yellow; red
15;The Rising Sun - Pink;57; The city is flooded and between the houses you see an object descending into the water, what is it?; a tree; a pair of shoes; a bag full of food;
16;The Rising Sun - Pink;57; You have to wash lots of clothes by hand and hang them outside to dry, but you see that the sky is filled with dark clouds. What do you think?; better wait, the weather will improve; the forecast calls for good weather;it’s better to postpone until tomorrow;I start the same
17;The Rising Sun - Pink;57; You are looking at the sea from your room and you fall asleep, what do you see when you wake up?; the sun starting to set; it is night and the sea is plunged into darkness; there is a light fog;a wonderful sun
18;The Rising Sun - Pink;57; Two children look at each other from an opposite bank of the river, what color is the bridge that can bring them together?; grey; red; black; green
19;The Rising Sun - Pink;57; They invite you to play as a musician in a professional orchestra, which instrument do you choose?; violin; contrabass; trumpet; flute
20;The Rising Sun - Pink;57; Imagine a blue sky, what is the surrounding landscape like?; a snowy landscape; a clear sea; a mountain full of vegetation; a field of yellow flowers
21;The Rising Sun - Pink;57; You see a lion and a lioness eating big chunks of meat, what do you think?; I'm scared; lucky them; that's disgusting; it is their nature
22;The Rising Sun - Orange;56; You plant 100 seeds of a special plant in the desert, how many survive?; 1 - 40; 41 - 80; 81 - 98; 99 - 100
23;The Rising Sun - Orange;56; It starts to rain very heavily and you are 5 minutes away from the place you need to reach, how do you react?; I find a place to shelter;I'm looking for a shop to buy an umbrella; I open the umbrella that I always have with me;             I run to get there as soon as possible
24;The Rising Sun - Orange;56; You blow soap bubbles in an open field, what happens?; they float in the sky; hundreds of bubbles come out; a huge one comes out; the wind carries them away
25;The Rising Sun - Orange;56; You're exhibiting at an antiques market, how's it going?; everyone admires my jewelry; no one stops; I am the exhibitor who has sold the most;
26;The Rising Sun - Orange;56; Imagine finding an egg and breaking it, what animal is it?; dinosaur; snake; turtle; hen
27;The Rising Sun - Orange;56; You have just faced a gigantic labyrinth, how do you feel?; I thought I couldn't get out; luckily other people helped me; it was hard but i managed it; it was very easy to get out
28;The Rising Sun - Orange;56; What kind of fighter would you be in a ring?; a fighter willing to do anything to win; a wrestler with enormous strength; wrestler who doesn’t manifest emotions; a very cunning fighter
29;The Rising Sun - Orange;56; You have to decide the cover for your new successful album, what features should it have?; there must be my photo; there must be an exotic landscape; there must be a funny picture; there must be an abstract image
30;The Rising Sun - Orange;56; You are a policeman and you have just arrested a person, what does the criminal tell you?; I give up, I'm guilty; you have no proof, i'm innocent; I'll get you fired;
31;The Rising Sun - Orange;56; While walking down the street you find angry monsters, why are they?; it is their nature; they are hungry; they are looking for their beloved mate; they are disappointed in people
32;The Rising Sun - Orange;56; Be fascinated by a work of art, what is the image of the painting?; a caricature; an abstract design; a self portrait; a landscape
33;The Rising Sun - Orange;56; If you could have a magic eraser that erased what you didn't like, what would you erase?; whoever; someone I dislike;someone I loved years ago;
34;The Rising Sun - Orange;56; A man approaches you until you look at a painting, what does he tell you?; what time is it?; do you like it?; I’m the artist;
35;The Rising Sun - Orange;56; A repairman rings at your door, what’s his job?; hydraulic; electrician; computer technician; boilermaker
36;The Rising Sun - Orange;56; You're on a diet but it makes you suffer, why are you doing it?; to please others; I am not satisfied with my physical appearance; to please the person I love;
37;The Rising Sun - Orange;56; A dog knocks on the door and hands you a letter, what does it contain?; good news; an overdue electricity bill; a fine to pay;
